sudoku_size,strategy,initial_clauses,runtime,runtime_fmt,backtracks,branches,unit_clauses,multiple_solutions
4,0,6,0.006405830383300781,0:00:00.006,0,0,58,False
4,0,4,0.00518798828125,0:00:00.005,0,0,60,False
4,0,4,0.005543231964111328,0:00:00.005,0,0,60,False
4,0,4,0.0045299530029296875,0:00:00.004,0,0,60,False
4,0,6,0.004492044448852539,0:00:00.004,0,0,58,False
4,0,4,0.004213094711303711,0:00:00.004,0,0,60,False
4,0,6,0.004467964172363281,0:00:00.004,0,0,58,False
4,0,4,0.004470109939575195,0:00:00.004,0,0,60,False
4,0,6,0.004815101623535156,0:00:00.004,0,0,58,False
4,0,6,0.00428318977355957,0:00:00.004,0,0,58,False
4,0,6,0.005931854248046875,0:00:00.005,0,0,58,False
4,0,6,0.004187107086181641,0:00:00.004,0,0,58,False
4,0,4,0.004355907440185547,0:00:00.004,0,0,60,False
4,0,4,0.004395961761474609,0:00:00.004,0,0,60,False
4,0,4,0.004482269287109375,0:00:00.004,0,0,60,False
4,0,6,0.004271745681762695,0:00:00.004,0,0,58,False
4,0,6,0.004122018814086914,0:00:00.004,0,0,58,False
4,0,4,0.0052378177642822266,0:00:00.005,0,0,60,False
4,0,4,0.006002187728881836,0:00:00.006,0,0,60,False
4,0,6,0.005298137664794922,0:00:00.005,0,0,58,False
4,0,4,0.004602909088134766,0:00:00.004,0,0,60,False
4,0,4,0.0042879581451416016,0:00:00.004,0,0,60,False
4,0,6,0.0042150020599365234,0:00:00.004,0,0,58,False
4,0,6,0.004189968109130859,0:00:00.004,0,0,58,False
4,0,6,0.004187822341918945,0:00:00.004,0,0,58,False
4,0,4,0.0046308040618896484,0:00:00.004,0,0,60,False
4,0,4,0.004476070404052734,0:00:00.004,0,0,60,False
4,0,4,0.004333019256591797,0:00:00.004,0,0,60,False
4,0,4,0.005063295364379883,0:00:00.005,0,0,60,False
4,0,6,0.004212856292724609,0:00:00.004,0,0,58,False
4,0,6,0.004901885986328125,0:00:00.004,0,0,58,False
4,0,4,0.005510091781616211,0:00:00.005,0,0,60,False
4,0,6,0.005166053771972656,0:00:00.005,0,0,58,False
4,0,4,0.006515979766845703,0:00:00.006,0,0,60,False
4,0,4,0.005164146423339844,0:00:00.005,0,0,60,False
4,0,4,0.005172252655029297,0:00:00.005,0,0,60,False
4,0,4,0.004663944244384766,0:00:00.004,0,0,60,False
4,0,6,0.0044519901275634766,0:00:00.004,0,0,58,False
4,0,6,0.0043697357177734375,0:00:00.004,0,0,58,False
4,0,4,0.004489898681640625,0:00:00.004,0,0,60,False
4,0,4,0.007391929626464844,0:00:00.007,0,0,60,False
4,0,6,0.0042057037353515625,0:00:00.004,0,0,58,False
4,0,4,0.00436091423034668,0:00:00.004,0,0,60,False
4,0,4,0.004481792449951172,0:00:00.004,0,0,60,False
4,0,4,0.005549907684326172,0:00:00.005,0,0,60,False
4,0,4,0.0043849945068359375,0:00:00.004,0,0,60,False
4,0,6,0.004766941070556641,0:00:00.004,0,0,58,False
4,0,4,0.0042688846588134766,0:00:00.004,0,0,60,False
4,0,6,0.004054069519042969,0:00:00.004,0,0,58,False
4,0,6,0.004930019378662109,0:00:00.004,0,0,58,False
4,0,4,0.005244016647338867,0:00:00.005,0,0,60,False
4,0,4,0.0053098201751708984,0:00:00.005,0,0,60,False
4,0,6,0.004417896270751953,0:00:00.004,0,0,58,False
4,0,4,0.00429987907409668,0:00:00.004,0,0,60,False
4,0,6,0.004617929458618164,0:00:00.004,0,0,58,False
4,0,6,0.004374027252197266,0:00:00.004,0,0,58,False
4,0,6,0.004248142242431641,0:00:00.004,0,0,58,False
4,0,6,0.00454401969909668,0:00:00.004,0,0,58,False
4,0,4,0.004550933837890625,0:00:00.004,0,0,60,False
4,0,6,0.004269123077392578,0:00:00.004,0,0,58,False
4,0,4,0.004967927932739258,0:00:00.004,0,0,60,False
4,0,6,0.004349946975708008,0:00:00.004,0,0,58,False
4,0,6,0.005173683166503906,0:00:00.005,0,0,58,False
4,0,6,0.0044977664947509766,0:00:00.004,0,0,58,False
4,0,4,0.004921913146972656,0:00:00.004,0,0,60,False
4,0,6,0.004900217056274414,0:00:00.004,0,0,58,False
4,0,4,0.005808115005493164,0:00:00.005,0,0,60,False
4,0,6,0.005385160446166992,0:00:00.005,0,0,58,False
4,0,4,0.005666017532348633,0:00:00.005,0,0,60,False
4,0,6,0.0044901371002197266,0:00:00.004,0,0,58,False
4,0,4,0.004527091979980469,0:00:00.004,0,0,60,False
4,0,6,0.004672050476074219,0:00:00.004,0,0,58,False
4,0,6,0.0042569637298583984,0:00:00.004,0,0,58,False
4,0,6,0.004244089126586914,0:00:00.004,0,0,58,False
4,0,4,0.004258871078491211,0:00:00.004,0,0,60,False
4,0,6,0.004261016845703125,0:00:00.004,0,0,58,False
4,0,4,0.0046079158782958984,0:00:00.004,0,0,60,False
4,0,4,0.0043718814849853516,0:00:00.004,0,0,60,False
4,0,6,0.0042192935943603516,0:00:00.004,0,0,58,False
4,0,4,0.005269765853881836,0:00:00.005,0,0,60,False
4,0,6,0.004354000091552734,0:00:00.004,0,0,58,False
4,0,6,0.004237174987792969,0:00:00.004,0,0,58,False
4,0,6,0.004634857177734375,0:00:00.004,0,0,58,False
4,0,6,0.005788087844848633,0:00:00.005,0,0,58,False
4,0,4,0.005540132522583008,0:00:00.005,0,0,60,False
4,0,4,0.004807949066162109,0:00:00.004,0,0,60,False
4,0,6,0.004347801208496094,0:00:00.004,0,0,58,False
4,0,6,0.004415035247802734,0:00:00.004,0,0,58,False
4,0,4,0.0046427249908447266,0:00:00.004,0,0,60,False
4,0,4,0.00458073616027832,0:00:00.004,0,0,60,False
4,0,6,0.0043561458587646484,0:00:00.004,0,0,58,False
4,0,4,0.004324913024902344,0:00:00.004,0,0,60,False
4,0,4,0.004446983337402344,0:00:00.004,0,0,60,False
4,0,4,0.004209041595458984,0:00:00.004,0,0,60,False
4,0,6,0.004323005676269531,0:00:00.004,0,0,58,False
4,0,6,0.004384279251098633,0:00:00.004,0,0,58,False
4,0,4,0.004272937774658203,0:00:00.004,0,0,60,False
4,0,6,0.004914283752441406,0:00:00.004,0,0,58,False
4,0,4,0.004663228988647461,0:00:00.004,0,0,60,False
4,0,4,0.004347324371337891,0:00:00.004,0,0,60,False
4,0,6,0.006520986557006836,0:00:00.006,0,0,58,False
4,0,6,0.004779815673828125,0:00:00.004,0,0,58,False
4,0,4,0.004758119583129883,0:00:00.004,0,0,60,False
4,0,4,0.004483222961425781,0:00:00.004,0,0,60,False
4,0,6,0.00454401969909668,0:00:00.004,0,0,58,False
4,0,4,0.004347801208496094,0:00:00.004,0,0,60,False
